2800,1841,2886,943,1260,2527,2023-05-20 00:19:59.020744
2786,1841,2886,943,1228,2526,2023-05-20 00:19:59.121821
2756,1841,2886,941,1223,2526,2023-05-20 00:19:59.219527
2724,1841,2886,941,1223,2526,2023-05-20 00:19:59.314758
2694,1841,2886,941,1223,2526,2023-05-20 00:19:59.409763
2665,1841,2886,941,1223,2526,2023-05-20 00:19:59.505605
2635,1841,2886,941,1223,2526,2023-05-20 00:19:59.601739
2606,1841,2887,941,1223,2526,2023-05-20 00:19:59.697483
2576,1841,2887,941,1223,2526,2023-05-20 00:19:59.792736
2546,1841,2886,941,1223,2526,2023-05-20 00:19:59.889436
2515,1841,2886,941,1223,2526,2023-05-20 00:19:59.985384
2484,1841,2886,941,1223,2526,2023-05-20 00:20:00.081589
2455,1841,2886,941,1223,2526,2023-05-20 00:20:00.177742
2424,1841,2886,941,1223,2526,2023-05-20 00:20:00.275351
2395,1841,2886,941,1223,2526,2023-05-20 00:20:00.371580
2365,1841,2886,941,1223,2526,2023-05-20 00:20:00.468490
2334,1841,2886,941,1223,2526,2023-05-20 00:20:00.564443
2304,1841,2886,941,1223,2527,2023-05-20 00:20:00.658680
2274,1841,2886,941,1223,2526,2023-05-20 00:20:00.754807
2244,1841,2886,941,1223,2526,2023-05-20 00:20:00.855904
2213,1841,2886,941,1223,2526,2023-05-20 00:20:00.952063
2184,1841,2886,941,1223,2526,2023-05-20 00:20:01.046385
2153,1841,2886,941,1223,2526,2023-05-20 00:20:01.144483
2122,1841,2886,941,1223,2526,2023-05-20 00:20:01.241629
2091,1841,2887,941,1223,2526,2023-05-20 00:20:01.337422
2061,1841,2886,941,1223,2526,2023-05-20 00:20:01.434324
2030,1841,2886,941,1223,2526,2023-05-20 00:20:01.532537
2000,1841,2886,941,1223,2526,2023-05-20 00:20:01.628541
1970,1841,2886,941,1223,2526,2023-05-20 00:20:01.725358
1939,1841,2886,941,1223,2526,2023-05-20 00:20:01.821135
1910,1841,2886,941,1223,2526,2023-05-20 00:20:01.917449
1879,1841,2886,941,1223,2526,2023-05-20 00:20:02.014373
1849,1841,2886,941,1223,2526,2023-05-20 00:20:02.111497
1818,1841,2886,941,1223,2526,2023-05-20 00:20:02.207446
1787,1841,2886,941,1223,2527,2023-05-20 00:20:02.303393
1756,1841,2886,941,1223,2526,2023-05-20 00:20:02.400281
